  freq              ;  reS11        ; imS11         
   1.55934496167E+04; -0.448837     ; 0.00518261   
   1.56662509902E+04; -0.448767     ; 0.00517321   
   1.57393922526E+04; -0.449028     ; 0.00510033   
   1.58128749908E+04; -0.449013     ; 0.00506386   
   1.58867007989E+04; -0.448904     ; 0.00521726   
   1.59608712786E+04; -0.448867     ; 0.00513989   
   1.60353880393E+04; -0.44886      ; 0.00516915   
   1.61102526974E+04; -0.448853     ; 0.00511209   
   1.61854668773E+04; -0.448831     ; 0.00515737   
   1.62610322108E+04; -0.448883     ; 0.00493243   
   1.63369503372E+04; -0.448884     ; 0.00491789   
   1.64132229038E+04; -0.449054     ; 0.0050621    
   1.64898515653E+04; -0.449014     ; 0.00486115   
   1.65668379841E+04; -0.449025     ; 0.00494235   
   1.66441838307E+04; -0.448925     ; 0.00493405   
   1.67218907829E+04; -0.448892     ; 0.00499883   
   1.67999605267E+04; -0.449074     ; 0.00490311   
   1.68783947560E+04; -0.449045     ; 0.00483517   
   1.69571951723E+04; -0.448851     ; 0.00478356   
   1.70363634853E+04; -0.448887     ; 0.0048163    
   1.71159014126E+04; -0.449022     ; 0.00464372   
   1.71958106798E+04; -0.448998     ; 0.00468377   
   1.72760930207E+04; -0.449008     ; 0.00466855   
   1.73567501769E+04; -0.449018     ; 0.00464225   
   1.74377838984E+04; -0.448972     ; 0.00460488   
   1.75191959432E+04; -0.449107     ; 0.00463092   
   1.76009880777E+04; -0.449048     ; 0.00463546   
   1.76831620763E+04; -0.449127     ; 0.0046258    
   1.77657197220E+04; -0.449046     ; 0.00456946   
   1.78486628058E+04; -0.449087     ; 0.00448468   
   1.79319931272E+04; -0.449152     ; 0.00447039   
   1.80157124941E+04; -0.449205     ; 0.00446302   
   1.80998227229E+04; -0.449238     ; 0.0044489    
   1.81843256384E+04; -0.449144     ; 0.00448129   
   1.82692230739E+04; -0.448904     ; 0.00454713   
   1.83545168714E+04; -0.449082     ; 0.00455359   
   1.84402088813E+04; -0.449237     ; 0.00445425   
   1.85263009628E+04; -0.44939      ; 0.00423042   
   1.86127949837E+04; -0.44936      ; 0.00433735   
   1.86996928205E+04; -0.449301     ; 0.00429495   
   1.87869963586E+04; -0.449349     ; 0.00428691   
   1.88747074920E+04; -0.449363     ; 0.00430402   
   1.89628281237E+04; -0.449419     ; 0.00427248   
   1.90513601656E+04; -0.449408     ; 0.00424127   
   1.91403055383E+04; -0.449381     ; 0.00419099   
   1.92296661716E+04; -0.44946      ; 0.00422294   
   1.93194440042E+04; -0.449468     ; 0.00420669   
   1.94096409840E+04; -0.449525     ; 0.0041524    
   1.95002590678E+04; -0.449511     ; 0.00412349   
   1.95913002216E+04; -0.449543     ; 0.00415038   
   1.96827664206E+04; -0.449551     ; 0.00412174   
   1.97746596492E+04; -0.449581     ; 0.00413942   
   1.98669819012E+04; -0.449583     ; 0.00413013   
   1.99597351794E+04; -0.449667     ; 0.00407663   
   2.00529214962E+04; -0.450751     ; 0.00482751   
   2.01465428734E+04; -0.450808     ; 0.00478775   
