  freq              ;  reS11        ; imS11         
   1.55934496167E+04; -0.671033     ; 0.0781216    
   1.56662509902E+04; -0.671011     ; 0.0786211    
   1.57393922526E+04; -0.670825     ; 0.0788477    
   1.58128749908E+04; -0.67071      ; 0.0791981    
   1.58867007989E+04; -0.670813     ; 0.0796023    
   1.59608712786E+04; -0.670435     ; 0.0800312    
   1.60353880393E+04; -0.670466     ; 0.080454     
   1.61102526974E+04; -0.670394     ; 0.0808897    
   1.61854668773E+04; -0.670452     ; 0.0812504    
   1.62610322108E+04; -0.670383     ; 0.0817126    
   1.63369503372E+04; -0.670263     ; 0.0821686    
   1.64132229038E+04; -0.670202     ; 0.0823078    
   1.64898515653E+04; -0.670163     ; 0.0828418    
   1.65668379841E+04; -0.670212     ; 0.0831836    
   1.66441838307E+04; -0.670017     ; 0.0837294    
   1.67218907829E+04; -0.669787     ; 0.0841034    
   1.67999605267E+04; -0.669322     ; 0.0844607    
   1.68783947560E+04; -0.669692     ; 0.0847367    
   1.69571951723E+04; -0.670002     ; 0.0852108    
   1.70363634853E+04; -0.669946     ; 0.0856362    
   1.71159014126E+04; -0.669785     ; 0.0859908    
   1.71958106798E+04; -0.669822     ; 0.0864561    
   1.72760930207E+04; -0.669793     ; 0.0867994    
   1.73567501769E+04; -0.669739     ; 0.0871398    
   1.74377838984E+04; -0.66978      ; 0.0875557    
   1.75191959432E+04; -0.669715     ; 0.0878822    
   1.76009880777E+04; -0.669677     ; 0.0884293    
   1.76831620763E+04; -0.669467     ; 0.0888793    
   1.77657197220E+04; -0.669488     ; 0.08921      
   1.78486628058E+04; -0.669422     ; 0.0897043    
   1.79319931272E+04; -0.669498     ; 0.0901303    
   1.80157124941E+04; -0.669392     ; 0.0905767    
   1.80998227229E+04; -0.669306     ; 0.0910289    
   1.81843256384E+04; -0.669344     ; 0.0915038    
   1.82692230739E+04; -0.66897      ; 0.0918627    
   1.83545168714E+04; -0.668985     ; 0.0923072    
   1.84402088813E+04; -0.669159     ; 0.0927862    
   1.85263009628E+04; -0.669386     ; 0.0931585    
   1.86127949837E+04; -0.669172     ; 0.0935572    
   1.86996928205E+04; -0.669114     ; 0.0940819    
