  freq              ;  reS11        ; imS11         
   1.58867007989E+04;  0.976809     ; 0.0871974    
   1.59608712786E+04;  0.977743     ; 0.0855635    
   1.60353880393E+04;  0.977479     ; 0.0847151    
   1.61102526974E+04;  0.97774      ; 0.0837938    
   1.61854668773E+04;  0.977736     ; 0.0825129    
   1.62610322108E+04;  0.978387     ; 0.0814034    
   1.63369503372E+04;  0.978812     ; 0.0805894    
   1.64132229038E+04;  0.978301     ; 0.0786678    
   1.64898515653E+04;  0.97852      ; 0.0774624    
   1.65668379841E+04;  0.978304     ; 0.0763621    
   1.66441838307E+04;  0.979545     ; 0.0750706    
   1.67218907829E+04;  0.981242     ; 0.0746577    
   1.67999605267E+04;  0.984205     ; 0.0761046    
   1.68783947560E+04;  0.980592     ; 0.07216      
   1.69571951723E+04;  0.979068     ; 0.0709155    
   1.70363634853E+04;  0.979302     ; 0.0696195    
   1.71159014126E+04;  0.97981      ; 0.0679797    
   1.71958106798E+04;  0.979583     ; 0.0668714    
   1.72760930207E+04;  0.979649     ; 0.0655526    
   1.73567501769E+04;  0.979355     ; 0.0643611    
   1.74377838984E+04;  0.97967      ; 0.0636169    
   1.75191959432E+04;  0.979624     ; 0.0621831    
   1.76009880777E+04;  0.98019      ; 0.0610388    
   1.76831620763E+04;  0.980612     ; 0.0590049    
   1.77657197220E+04;  0.980345     ; 0.057942     
   1.78486628058E+04;  0.980447     ; 0.0568442    
   1.79319931272E+04;  0.980632     ; 0.0559233    
   1.80157124941E+04;  0.981146     ; 0.0545219    
   1.80998227229E+04;  0.981431     ; 0.0532895    
   1.81843256384E+04;  0.981566     ; 0.0520254    
   1.82692230739E+04;  0.98124      ; 0.0488392    
   1.83545168714E+04;  0.981988     ; 0.0480068    
   1.84402088813E+04;  0.982226     ; 0.0481138    
   1.85263009628E+04;  0.981695     ; 0.0483237    
   1.86127949837E+04;  0.981961     ; 0.0462782    
   1.86996928205E+04;  0.982236     ; 0.0450654    
   1.87869963586E+04;  0.982338     ; 0.0440752    
   1.88747074920E+04;  0.982245     ; 0.0426226    
   1.89628281237E+04;  0.982481     ; 0.0413906    
   1.90513601656E+04;  0.982776     ; 0.0402783    
   1.91403055383E+04;  0.982794     ; 0.0389811    
   1.92296661716E+04;  0.982919     ; 0.0377505    
   1.93194440042E+04;  0.983204     ; 0.0366617    
   1.94096409840E+04;  0.983677     ; 0.0354208    
   1.95002590678E+04;  0.983359     ; 0.0342953    
   1.95913002216E+04;  0.983533     ; 0.0328439    
   1.96827664206E+04;  0.983336     ; 0.0314861    
   1.97746596492E+04;  0.983213     ; 0.0304929    
   1.98669819012E+04;  0.983696     ; 0.0292903    
   1.99597351794E+04;  0.984361     ; 0.0281852    
   2.00529214962E+04;  0.987362     ; 0.0217077    
   2.01465428734E+04;  0.98747      ; 0.0205358    
   2.02406013422E+04;  0.987491     ; 0.0193972    
   2.03350989431E+04;  0.987702     ; 0.018345     
   2.04300377265E+04;  0.987598     ; 0.0170313    
   2.05254197519E+04;  0.987749     ; 0.0158892    
   2.06212470888E+04;  0.987831     ; 0.0149552    
   2.07175218163E+04;  0.988142     ; 0.0136262    
   2.08142460231E+04;  0.988046     ; 0.0125265    
   2.09114218076E+04;  0.988039     ; 0.0113899    
   2.10090512782E+04;  0.987988     ; 0.0103014    
   2.11071365529E+04;  0.988296     ; 0.00900686   
   2.12056797599E+04;  0.988231     ; 0.00797924   
   2.13046830370E+04;  0.98837      ; 0.00700751   
   2.14041485322E+04;  0.988165     ; 0.00586018   
   2.15040784035E+04;  0.988542     ; 0.00429389   
   2.16044748189E+04;  0.988503     ; 0.00319648   
   2.17053399565E+04;  0.988598     ; 0.00191483   
   2.18066760047E+04;  0.988663     ; 0.000758827  
   2.19084851621E+04;  0.988739     ;-0.000430167  
   2.20107696374E+04;  0.989028     ;-0.00172064   
   2.21135316497E+04;  0.988907     ;-0.00296876   
   2.22167734287E+04;  0.989009     ;-0.00412586   
   2.23204972141E+04;  0.988757     ;-0.00530532   
   2.24247052562E+04;  0.988931     ;-0.00637046   
   2.25293998161E+04;  0.989266     ;-0.00765097   
